MaxDist_km,energy_uJ,spreadingFactor,codingRate,BW,programmedPower,maxPathLoss,RSSI,packet_time,Payload_bytes
[0.891, 1.282, 7, 1, 500, 2, 118, -116, 16.192, 32]
[0.944, 1.282, 7, 1, 500, 3, 119, -116, 16.192, 32]
[1.0, 1.282, 7, 1, 500, 4, 120, -116, 16.192, 32]
[1.059, 1.336, 7, 1, 500, 5, 121, -116, 16.192, 32]
[1.122, 1.336, 7, 1, 500, 6, 122, -116, 16.192, 32]
[1.189, 1.336, 7, 1, 500, 7, 123, -116, 16.192, 32]
[1.259, 1.336, 7, 1, 500, 8, 124, -116, 16.192, 32]
[1.334, 1.389, 7, 1, 500, 9, 125, -116, 16.192, 32]
[1.413, 1.656, 7, 1, 500, 10, 126, -116, 16.192, 32]
[1.496, 1.71, 7, 1, 500, 11, 127, -116, 16.192, 32]
[1.585, 1.817, 7, 1, 500, 12, 128, -116, 16.192, 32]
[1.679, 1.87, 7, 1, 500, 13, 129, -116, 16.192, 32]
[1.778, 2.351, 7, 1, 500, 14, 130, -116, 16.192, 32]
[1.884, 2.779, 7, 1, 250, 9, 131, -122, 32.384, 32]
[1.995, 3.313, 7, 1, 250, 10, 132, -122, 32.384, 32]
[2.113, 3.42, 7, 1, 250, 11, 133, -122, 32.384, 32]
[2.239, 3.633, 7, 1, 250, 12, 134, -122, 32.384, 32]
[2.371, 3.74, 7, 1, 250, 13, 135, -122, 32.384, 32]
[2.512, 4.702, 7, 1, 250, 14, 136, -122, 32.384, 32]
[2.661, 6.693, 8, 1, 250, 12, 137, -125, 59.648, 32]
[2.818, 6.889, 8, 1, 250, 13, 138, -125, 59.648, 32]
[2.985, 8.661, 8, 1, 250, 14, 139, -125, 59.648, 32]
[3.162, 12.236, 9, 1, 250, 12, 140, -128, 109.056, 32]
[3.35, 12.596, 9, 1, 250, 13, 141, -128, 109.056, 32]
[3.548, 15.835, 9, 1, 250, 14, 142, -128, 109.056, 32]
[3.758, 22.826, 10, 1, 250, 13, 143, -130, 197.632, 32]
[3.981, 28.696, 10, 1, 250, 14, 144, -130, 197.632, 32]
[4.217, 32.39, 9, 1, 250, 17, 145, -128, 109.056, 32]
[4.467, 45.653, 10, 1, 125, 13, 146, -133, 395.264, 32]
[4.732, 57.392, 10, 1, 125, 14, 147, -133, 395.264, 32]
[5.012, 81.844, 12, 1, 250, 13, 148, -135, 708.608, 32]
[5.309, 102.89, 12, 1, 250, 14, 149, -135, 708.608, 32]
[5.623, 117.393, 10, 1, 125, 17, 150, -133, 395.264, 32]
[5.957, 198.765, 12, 1, 250, 16, 151, -135, 708.608, 32]
[6.31, 210.457, 12, 1, 250, 17, 152, -135, 708.608, 32]
[6.683, 397.529, 12, 1, 125, 16, 153, -137, 1417.216, 32]
[7.079, 420.913, 12, 1, 125, 17, 154, -137, 1417.216, 32]
